Week End,Season,Measure,Age Group,Race/Ethnicity,Sex,Population Size,Count,Percent
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,2167,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,4664,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,7939,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,11371,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,14242,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,15357,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,All Race/Ethnicities,All Sexes,560271,15892,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,14,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,292,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,626,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,1000,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,1408,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,1768,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,1902,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Asian, non-Latinx",All Sexes,47111,1970,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,4,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,118,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,273,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,492,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,707,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,934,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,1042,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Black, non-Latinx",All Sexes,132989,1085,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,12,0.0
09/23/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,245,0.0
09/30/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,568,0.0
10/07/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,1048,0.0
10/14/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,1578,0.0
10/21/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,2082,0.0
10/28/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,2283,0.0
11/04/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,Latinx,All Sexes,165753,2394,0.0
09/16/2023,2023-2024,UpToDate_2023_2024,18-29 yrs,"Other, non-Latinx",All Sexes,18857,1,0.0
